Population,GDP_USD,gdp_per_capita,country,sectorName,year,pollutantName,value,unit
79433029.0,1778162195860.0654,22385.677825027487,Germany,Adipic acid production,1990,NOx,0.0907878,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Agriculture other (please specify in the IIR),1990,NOx,7.87741e-05,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Agriculture/Forestry/Fishing: National fishing,1990,NOx,0.38163,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Agriculture/Forestry/Fishing: National fishing,1990,SOx,0.185788,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1990,NOx,64.2882,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1990,SOx,5.7577,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Agriculture/Forestry/Fishing: Stationary,1990,NOx,6.11248,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Agriculture/Forestry/Fishing: Stationary,1990,SOx,51.9042,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Aluminium production,1990,NOx,0.740251,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Aluminium production,1990,SOx,4.81163,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Ammonia production,1990,NOx,2.70466,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Animal manure applied to soils,1990,NOx,45.9399,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Cement production,1990,NOx,37.5793,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Cement production,1990,SOx,8.88973,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Chemical industry: Other (please specify in the IIR),1990,SOx,53.9285,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Commercial/Institutional: Mobile,1990,NOx,10.439,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Commercial/Institutional: Mobile,1990,SOx,0.534238,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Commercial/Institutional: Stationary,1990,NOx,47.3609,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Commercial/Institutional: Stationary,1990,SOx,360.292,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Copper production,1990,SOx,2.9376,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Cremation,1990,NOx,0.139687,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Cremation,1990,SOx,0.0191329,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Domestic aviation LTO (civil),1990,NOx,2.59655,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Domestic aviation LTO (civil),1990,SOx,0.174471,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Domestic aviation cruise (civil),1990,NOx,7.08305,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Domestic aviation cruise (civil),1990,SOx,0.406776,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Forest fires,1990,SOx,0.0541238,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Forest fires,1990,NOx,0.225516,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Fugitive emission from solid fuels: Solid fuel transformation,1990,SOx,38.1868,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Fugitive emission from solid fuels: Solid fuel transformation,1990,NOx,0.35,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",1990,NOx,0.0671528,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)",1990,SOx,0.00504,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Fugitive emissions oil: Refining and storage,1990,NOx,0.238043,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Fugitive emissions oil: Refining and storage,1990,SOx,5.17992,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Glass production,1990,NOx,30.8982,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Glass production,1990,SOx,13.518,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Inorganic N-fertilizers (includes also urea application),1990,NOx,86.5346,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,International aviation LTO (civil),1990,NOx,3.65948,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,International aviation LTO (civil),1990,SOx,0.243199,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,International aviation cruise (civil),1990,NOx,47.3919,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,International aviation cruise (civil),1990,SOx,2.97942,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,International maritime navigation,1990,NOx,139.186,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,International maritime navigation,1990,SOx,107.63,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Iron and steel production,1990,NOx,4.6049,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Iron and steel production,1990,SOx,9.47861,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Lead production,1990,SOx,0.71545,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Lime production,1990,NOx,9.50491,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Lime production,1990,SOx,1.48674,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Manufacture of solid fuels and other energy industries,1990,NOx,107.23,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Manufacture of solid fuels and other energy industries,1990,SOx,538.698,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Manure management - Broilers,1990,NOx,0.00559719,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Manure management - Dairy cattle,1990,NOx,0.892061,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Manure management - Goats,1990,NOx,0.00228047,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Manure management - Horses,1990,NOx,0.231757,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Manure management - Laying hens,1990,NOx,0.0142349,kt
79433029.0,1778162195860.0654,22385.677825027487,Germany,Manure management - Non-dairy cattle,1990,NOx,0.842685,kt
